Gen	avgX	bestX
0	0.51639	0.17061
1	0.48126	0.42890
2	0.50745	0.66526
3	0.50165	0.18476
4	0.52655	0.72175
5	0.56796	0.17061
6	0.61789	0.73358
7	0.66225	0.17108
8	0.69072	0.67158
9	0.72442	0.72224
10	0.72550	0.73331
11	0.72863	0.73407
12	0.72334	0.73407
13	0.72751	0.73407
14	0.72958	0.73431
15	0.73196	0.73309
16	0.72787	0.73341
17	0.73175	0.73431
18	0.73101	0.73407
19	0.72786	0.73382
20	0.73111	0.73390
21	0.73386	0.73431
22	0.73098	0.73431
23	0.73392	0.73431
24	0.73099	0.73431
25	0.72782	0.73431
26	0.72162	0.73431
27	0.71844	0.73431
28	0.71213	0.66790
29	0.71839	0.73431
30	0.72782	0.73431
31	0.73382	0.73431
32	0.73118	0.67181
33	0.73099	0.73431
34	0.73099	0.67181
35	0.73094	0.73431
36	0.72492	0.73431
37	0.71868	0.73430
38	0.72161	0.73431
39	0.72474	0.73430
40	0.72176	0.73430
41	0.72802	0.73407
42	0.72785	0.73431
43	0.72762	0.73431
44	0.73052	0.73431
45	0.73347	0.73431
46	0.73409	0.73431
47	0.73429	0.73431
48	0.73431	0.73431
49	0.73407	0.73334
50	0.73417	0.73431
51	0.72806	0.73431
52	0.73431	0.73431
53	0.73430	0.73431
54	0.73412	0.73431
55	0.73430	0.73431
56	0.72448	0.73431
57	0.72120	0.67181
58	0.72770	0.73431
59	0.73097	0.67181
60	0.73108	0.73407
61	0.73428	0.73431
62	0.72793	0.73431
63	0.73428	0.73431
64	0.73428	0.73431
65	0.73424	0.73431
66	0.73421	0.73431
67	0.73397	0.73431
68	0.73425	0.73431
69	0.73093	0.66791
70	0.73094	0.73431
71	0.72761	0.73431
72	0.73426	0.73431
73	0.73119	0.73431
74	0.72806	0.73431
75	0.72484	0.73431
76	0.73420	0.73334
77	0.73401	0.73431
78	0.73422	0.73431
79	0.73109	0.73431
80	0.73421	0.73431
81	0.73113	0.73431
82	0.73425	0.73431
83	0.73407	0.73431
84	0.73098	0.73431
85	0.73407	0.73431
86	0.72806	0.73431
87	0.72473	0.73431
88	0.72470	0.73041
89	0.72160	0.73430
90	0.71810	0.73431
91	0.71185	0.67181
92	0.71849	0.73431
93	0.72452	0.73431
94	0.72806	0.73431
95	0.72757	0.73431
96	0.73378	0.73431
97	0.73397	0.73334
98	0.72125	0.67157
99	0.72153	0.73431
100	0.73092	0.73431
101	0.72794	0.73407
102	0.72486	0.73431
103	0.73400	0.73334
104	0.73404	0.73431
105	0.73421	0.73407
106	0.73369	0.73431
107	0.73075	0.73431
108	0.72743	0.73431
109	0.72766	0.73431
110	0.72473	0.73431
111	0.71847	0.67181
112	0.72110	0.73431
113	0.72689	0.73041
114	0.72963	0.73041
115	0.73036	0.73041
116	0.73010	0.67181
117	0.73380	0.73431
118	0.73376	0.73334
119	0.73414	0.73431
120	0.73420	0.73431
121	0.73098	0.73431
122	0.73076	0.73431
123	0.73115	0.73406
124	0.73407	0.73431
125	0.73431	0.73431
126	0.73114	0.73431
127	0.73119	0.73430
128	0.73109	0.73334
129	0.73119	0.73431
130	0.72804	0.73431
131	0.73111	0.73431
132	0.73407	0.73334
133	0.73381	0.73431
134	0.73362	0.73431
135	0.73356	0.73431
136	0.73093	0.73041
137	0.72796	0.73431
138	0.72777	0.73431
139	0.72425	0.73431
140	0.73006	0.67084
141	0.73343	0.73430
142	0.73387	0.73431
143	0.73409	0.73041
144	0.73397	0.73431
145	0.73338	0.73431
146	0.73050	0.73431
147	0.73078	0.73431
148	0.73409	0.73431
149	0.73420	0.73431
150	0.73103	0.73431
151	0.73376	0.73431
152	0.73093	0.73431
153	0.73054	0.73431
154	0.73009	0.73430
155	0.73053	0.73431
156	0.73078	0.73431
157	0.73078	0.73430
158	0.73367	0.73041
159	0.73387	0.73334
160	0.73348	0.73431
161	0.73094	0.73430
162	0.73411	0.73430
163	0.73411	0.73431
164	0.73431	0.73431
165	0.73390	0.73431
166	0.73426	0.73431
167	0.72079	0.66791
168	0.73053	0.73431
169	0.73332	0.73431
170	0.73369	0.73407
171	0.73095	0.73431
172	0.72782	0.73431
173	0.72123	0.73040
174	0.72761	0.73431
175	0.72785	0.73406
176	0.72745	0.73431
177	0.72769	0.73431
178	0.73080	0.67181
179	0.73386	0.73431
180	0.73386	0.73041
181	0.73076	0.73431
182	0.73069	0.73334
183	0.72795	0.73431
184	0.73414	0.73308
185	0.73386	0.73431
186	0.73060	0.73431
187	0.73080	0.73431
188	0.73080	0.73431
189	0.72782	0.73431
190	0.73114	0.73431
191	0.73415	0.73431
192	0.73092	0.73431
193	0.73382	0.73431
194	0.73397	0.73431
195	0.73094	0.73431
196	0.72795	0.67181
197	0.72483	0.73431
198	0.73092	0.73431
199	0.72786	0.73431
